cis650prs/Robers-MacBook-Pro.local
[2017-10-20 00:57:31.544062] 10.111.86.248 ====form social group====FF, cis650prs/edison04
[2017-10-20 00:57:32.086212] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
[2017-10-20 00:57:33.102542] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:35.555730] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:36.190248] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:57:34.369056] 10.111.77.109 ====pickup====FF, cis650prs/edison04
[2017-10-20 00:57:37.049558] 10.111.86.248 ====riding and bonding====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:39.193095] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:39.193095] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:57:37.594009] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:40.561406] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:57:33.102542] 10.111.86.248 ====arrive====BB, cis650prs/edison04
[2017-10-20 00:57:38.611562] 10.111.86.248 ====form social group====BB, cis650prs/edison07
[2017-10-20 00:57:39.375811] 10.111.77.109 ====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:42.198852] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:42.198852] 10.111.70.167 ====turnstile====2, cis650prs/edison04
[2017-10-20 00:57:42.552275] 10.111.86.248 ====riding and bonding====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:45.204625] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:57:43.101735] 10.111.86.248 ====riding and bonding====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:45.204625] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:45.566262] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:57:43.618396] 10.111.86.248 ====form social group====BB, cis650prs/edison07
[2017-10-20 00:57:44.382378] 10.111.77.109 ====pickup====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:48.210483] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:48.210483] 10.111.70.167 ====turnstile====1, cis650prs/edison04
[2017-10-20 00:57:48.060035] 10.111.86.248 ====riding and bonding====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:50.566969] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:57:43.101735] 10.111.86.248 ====arrive====DD, cis650prs/edison04
[2017-10-20 00:57:48.608485] 10.111.86.248 ====form social group====DD, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:51.216284] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:57:49.123121] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:51.216284] 10.111.70.167 ====turnstile====2, cis650prs/edison07
[2017-10-20 00:57:49.389139] 10.111.77.109 ====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:54.222116] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:54.222116] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:55.568557] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:57:48.060035] 10.111.86.248 ====arrive====FF, cis650prs/edison04
[2017-10-20 00:57:53.614670] 10.111.86.248 ====form social group====DD, cis650prs/edison04
[2017-10-20 00:57:53.569071] 10.111.86.248 ====form social group====FF, cis650prs/edison07
[2017-10-20 00:57:54.392400] 10.111.77.109 ====pickup====DD, cis650prs/edison04
[2017-10-20 00:57:54.630991] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:57.222869] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:57:57.222869] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:00.228550] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:00.228550] 10.111.70.167 ====turnstile====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:00.574313] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:57:58.575581] 10.111.86.248 ====form social group====FF, cis650prs/edison04
[2017-10-20 00:57:59.122471] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison07
[2017-10-20 00:57:59.399189] 10.111.77.109 ====2, cis650prs/edison04
[2017-10-20 00:58:00.138835] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:03.234354] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:03.234354] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:05.579972] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:58:03.582290] 10.111.86.248 ====form social group====FF, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:06.238783] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:58:04.405934] 10.111.77.109 ====pickup====FF, cis650prs/edison04
[2017-10-20 00:58:04.630247] 10.111.86.248 ====riding and bonding====DD, cis650prs/edison04
______________Will of CARS _________________

, cis650prs/edison04
[2017-10-20 00:58:00.138835] 10.111.86.248 ====arrive====BB, cis650prs/edison04
[2017-10-20 00:58:05.647835] 10.111.86.248 ====form social group====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:09.244468] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:09.244468] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:10.585642] 10.111.70.167 ====monitor====keepalive, cis650prs/edison04
[2017-10-20 00:58:09.090281] 10.111.86.248 ====riding and bonding====FF, cis650prs/edison04
______________Will of CARS _________________

, cis650prs/edison07
[2017-10-20 00:58:09.408415] 10.111.77.109 ====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:12.250159] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:12.250159] 10.111.70.167 ====turnstile====2, cis650prs/edison04
[2017-10-20 00:58:10.654468] 10.111.86.248 ====form social group====BB, cis650prs/edison04
______________Will of CARS _________________

, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:15.255911] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:15.255911] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:15.591384] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:14.415157] 10.111.77.109 ====pickup====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:18.261701] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:18.261701] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:20.597106] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:21.267426] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:21.267426] 10.111.70.167 ====turnstile====2, cis650prs/edison07
[2017-10-20 00:58:19.422073] 10.111.77.109 ====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:24.273248] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:24.273248] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:25.602884] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:24.428665] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:27.279035] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:30.284591] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:30.608570] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:29.435357] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:33.290200] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:35.614242] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:36.295802] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:58:34.442142] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:39.301403] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:40.619909] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:39.448872] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:42.307014] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:45.312616] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:45.622884] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:44.455627] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:48.318193] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:50.628384] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:51.320853] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:58:49.462345] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:54.326545] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:55.630392] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:58:54.469033] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:58:57.332250] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
______________Will of TURNSTILE _________________

, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:59:00.631196] 10.111.70.167 ====monitor====keepalive, 
